crown_id,confidence,Plot_ID,kmlgeometry
72,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-135.101464577252,3284478.93182814 -134.702466455114,3284477.87687787 -134.194428675633,3284477.63883926 -134.105810384324,3284476.08026977 -134.182855513063,3284475.02941193 -134.022883224068,3284473.85968095 -134.062577496632,3284473.19795394 -134.607631581137,3284473.08580403 -135.185684451659,3284473.09077341 -135.832413105236,3284473.01844282 -136.478137418919,3284473.06293922 -137.089189050021,3284473.18502795 -137.191867951537,3284473.10802029 -137.429889722727,3284473.11006656 -137.837257471168,3284473.19145908 -138.30894875119,3284473.70180172 -138.342282280966,3284473.77997867 -138.542618239473,3284474.21009809 -138.675282761338,3284474.60069053 -138.909621795581,3284475.03110228 -138.905604297644,3284475.49841005 -138.90192159079,3284475.9267755 -138.726549426268,3284476.54839088 -138.588863075362,3284476.74193314 -138.00612334616,3284477.28215598 -138.003110248595,3284477.63263681 -137.998757995956,3284478.13888689 -137.686369176139,3284478.87615992 -137.241650682292,3284479.18389821 -135.101464577252,3284478.93182814</coordinates></LinearRing></outerBoundaryIs></Polygon>"
310,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-132.905467457836,3284473.30484228 -132.059072168136,3284472.86916911 -132.029086264432,3284472.40156904 -132.068445653073,3284471.77878434 -132.480500242615,3284471.31498427 -132.895567796077,3284470.50070341 -133.137272100255,3284470.07438413 -133.548657250823,3284469.68846874 -133.993041231297,3284469.41967261 -134.506101028295,3284469.0735765 -134.9824795163,3284469.0387266 -135.661872405966,3284469.12245757 -135.92988001823,3284469.59210388 -136.09353478183,3284470.33346943 -136.157523643749,3284470.80136183 -136.114816211513,3284471.81356966 -136.011467745469,3284471.96846195 -135.155029123009,3284472.70105796 -133.928238927678,3284473.00207312 -132.905467457836,3284473.30484228</coordinates></LinearRing></outerBoundaryIs></Polygon>"
104,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-131.182356107573,3284472.00483826 -129.993251433014,3284471.87778071 -129.997268553474,3284471.41047295 -130.002624713292,3284470.78739595 -130.010658951243,3284469.85278043 -129.982346747071,3284469.19046881 -130.058052466251,3284468.29538021 -130.093059870298,3284468.17884558 -130.333090308122,3284467.94723781 -130.849162912695,3284467.25066072 -131.292542626848,3284467.09869142 -131.939606358006,3284466.98741829 -132.245634511812,3284466.99004905 -132.857690824894,3284466.99531061 -133.159701734257,3284467.46524915 -133.565061082365,3284467.78029539 -133.936752057169,3284468.05610702 -133.967072674539,3284468.48476478 -132.968595585728,3284469.91715333 -132.2098143904,3284471.15687655 -131.76074379799,3284471.97086514 -131.182356107573,3284472.00483826</coordinates></LinearRing></outerBoundaryIs></Polygon>"
76,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-120.956595987547,3284466.89300861 -120.757598128985,3284466.30712029 -120.350230026757,3284466.2257284 -119.841856700252,3284466.02663278 -119.09512672032,3284465.86443362 -119.06580968597,3284465.31894898 -119.068487455719,3284465.00741049 -119.282882634434,3284463.80195242 -119.762273786822,3284463.41662106 -120.208331284113,3284462.95311283 -120.719047833525,3284462.87961227 -121.194422335771,3284462.96158872 -122.555552126782,3284462.85645282 -122.79323937383,3284462.89744108 -123.39759696601,3284463.79837529 -123.085208762146,3284464.5356487 -122.329440941045,3284465.42489176 -122.016718117695,3284466.20110751 -120.956595987547,3284466.89300861</coordinates></LinearRing></outerBoundaryIs></Polygon>"
66,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-127.004998706921,3284458.88098943 -124.099566399003,3284459.00953155 -124.100446061173,3284458.90719456 -124.10264521651,3284458.65135206 -124.106163864664,3284458.24200407 -124.022084508673,3284457.627214 -123.982243978593,3284457.06397646 -124.607745297661,3284457.06935312 -125.099210622255,3284457.07357766 -125.902986766712,3284457.13165908 -126.079502231092,3284457.38903779 -126.344495331461,3284457.74952161 -127.011596371478,3284458.11346195 -127.004998706921,3284458.88098943</coordinates></LinearRing></outerBoundaryIs></Polygon>"
134,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-136.445832290745,3284457.37580608 -135.197468939004,3284457.05804049 -135.197029057483,3284457.10920899 -134.93247609894,3284456.69755645 -134.358691452304,3284455.87386732 -133.650870693731,3284455.04902596 -133.340759205108,3284454.73932639 -133.034166669706,3284454.02027882 -132.993446829321,3284453.55937825 -133.004883469897,3284452.22899727 -133.320273504476,3284451.92467485 -133.681221992942,3284451.51839952 -134.533636102162,3284451.11634915 -135.339172177773,3284450.96975724 -136.05271158414,3284451.12940821 -136.718493070046,3284451.64685461 -137.562989240279,3284452.16583746 -137.694825839717,3284452.42283225 -138.221732280392,3284453.50197995 -138.840635354631,3284454.27488489 -139.10694782983,3284454.48186352 -139.183548100991,3284455.96651823 -136.445832290745,3284457.37580608</coordinates></LinearRing></outerBoundaryIs></Polygon>"
172,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-138.028999570757,3284465.52580925 -137.762687348237,3284465.31883063 -137.495055435924,3284465.26535753 -137.048708984395,3284465.21034804 -136.513445146615,3284465.10340187 -136.113536866556,3284464.84410251 -136.026379026822,3284464.58749182 -136.032097550982,3284463.92230132 -136.036056528683,3284463.46178482 -135.999735723832,3284462.48919922 -136.004574470047,3284461.92634572 -136.008533443674,3284461.46582922 -136.191207021708,3284461.0068491 -136.503957581881,3284461.00953776 -137.045380084775,3284460.40012493 -137.314771681791,3284460.24892402 -138.298581873067,3284460.15503724 -138.701569563767,3284460.05615717 -139.32707073749,3284460.06153465 -139.951252203085,3284460.22041767 -140.482996998122,3284460.736712 -140.968743367703,3284461.40612774 -141.008583021583,3284461.96936536 -140.949387383298,3284463.65754176 -140.856510833662,3284464.06612154 -140.000578207138,3284464.87751942 -138.789416138199,3284465.43000201 -138.028999570757,3284465.52580925</coordinates></LinearRing></outerBoundaryIs></Polygon>"
381,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-121.775152141228,3284442.10237021 -122.151374407753,3284437.98532921 -122.568291722273,3284437.94554152 -122.757630151755,3284437.94716898 -122.95591514738,3284436.90796182 -122.925502924249,3284436.04027414 -122.966352804506,3284435.69365476 -123.049170890823,3284434.87031166 -122.982754830038,3284433.78545794 -123.021368075977,3284433.69904722 -123.592365782592,3284433.35698477 -123.896052947151,3284433.27285252 -124.389824184414,3284433.10361156 -125.110056092148,3284433.02305984 -125.639085579372,3284433.1577212 -126.093498005299,3284433.16162724 -126.775862223469,3284433.08075013 -126.925469090638,3284433.29889271 -127.111079708964,3284433.73420134 -127.677231259237,3284433.95592452 -128.171748115215,3284433.69994751 -128.855230708024,3284433.48896619 -129.27587619453,3284433.01549764 -129.728797435586,3284433.19287627 -129.992007352179,3284433.41199544 -130.592298539181,3284434.06772539 -130.814658289542,3284434.63346394 -130.920432496001,3284435.54517082 -131.031053143204,3284435.89309226 -130.985729357577,3284436.76012894 -131.020241805585,3284437.15076746 -131.356950140267,3284437.63074637 -131.691048792622,3284438.41430206 -131.801669383887,3284438.76222352 -131.717732244229,3284439.71567089 -131.745906914352,3284440.84356729 -131.965283986181,3284441.75625076 -132.000169185107,3284442.10352117 -131.956709375547,3284442.7537173 -131.725402460375,3284443.22881336 -131.268380790774,3284443.52848385 -130.844753149548,3284444.34889721 -130.310132203624,3284444.86475724 -129.929591566091,3284445.0783426 -129.134370657732,3284445.07150674 -128.684059476946,3284444.59055134 -128.385964507586,3284444.0241618 -127.63159353548,3284443.67070667 -127.028320396319,3284443.36192175 -126.085729353072,3284442.87673486 -125.411939763755,3284441.96014547 -123.972222656186,3284442.03451267 -121.775152141228,3284442.10237021</coordinates></LinearRing></outerBoundaryIs></Polygon>"
348,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-148.553654354648,3284458.98199858 -147.952257899626,3284457.30174533 -147.580269500904,3284455.799789 -147.815741335799,3284455.27284013 -147.819531082292,3284454.83206153 -147.908632997249,3284453.42223182 -148.1433469404,3284452.98343868 -148.98931103549,3284453.07887443 -149.373426731036,3284453.17033928 -149.756784457772,3284453.34995987 -150.062409478356,3284453.61707435 -150.368792452267,3284453.79603312 -151.066112840665,3284453.27305533 -151.372495810327,3284453.45201413 -151.6758468505,3284453.98359582 -151.898433234135,3284454.95529428 -151.886305529042,3284456.36578581 -151.800235044677,3284457.42299262 -151.093819157104,3284459.00383901 -148.553654354648,3284458.98199858</coordinates></LinearRing></outerBoundaryIs></Polygon>"
470,High,OSBS_037,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-152.324995946838,3284450.11003888 -151.716777710826,3284449.22318693 -151.103253563808,3284448.95342504 -151.105527484207,3284448.68895788 -151.1123492443,3284447.89555641 -151.115381137235,3284447.54293353 -151.505560820457,3284446.92915268 -152.122116995452,3284446.84629171 -152.66094042093,3284446.85092463 -153.199763846875,3284446.85555759 -153.584637722466,3284446.85886686 -154.045728376484,3284446.95099372 -154.507577025681,3284446.95496487 -154.812444114068,3284447.3102352 -155.117311185342,3284447.66550554 -155.033514377195,3284448.45824516 -154.798800070654,3284448.89703817 -154.254670753377,3284449.50949518 -153.865248995367,3284450.03512021 -153.402642483241,3284450.11930479 -152.324995946838,3284450.11003888</coordinates></LinearRing></outerBoundaryIs></Polygon>"
